date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:25	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Jan%202018%2018:07:31%20GMT	http://www.hmk.net.pl/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-includes/js/jquery/jqueryb8ff.js	(from http://www.hmk.net.pl/)
21:43:26	10294/10294	---M--	200	added ('OK')	image/png	etag:%226a0714-2836-52fd715eed100%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/logo2.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/logo2.png	(from http://www.hmk.net.pl/)
21:43:29	33848/33848	---M--	200	added ('OK')	image/png	etag:%226a07fc-8438-52fd715d04c80%22	http://www.hmk.net.pl/wp-content/themes/hmkemc/images/headers/circle.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc/images/headers/circle.png	(from http://www.hmk.net.pl/)
21:43:41	101136/101136	---M--	200	added ('OK')	image/jpeg	etag:%226a071e-18b10-555d68dcdf280%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide2.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide2.jpg	(from http://www.hmk.net.pl/)
21:43:52	170519/170519	---M--	200	added ('OK')	image/jpeg	etag:%226a071d-29a17-555d68ba8a180%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide1.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide1.jpg	(from http://www.hmk.net.pl/)
21:43:55	179938/179938	---M--	200	added ('OK')	image/jpeg	etag:%226a071f-2bee2-555d68fc57cc0%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide3.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide3.jpg	(from http://www.hmk.net.pl/)
21:43:55	1409/1409	---M--	200	added ('OK')	image/png	etag:%226a0724-581-52fd715eed100%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/transparent.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/transparent.png	(from http://www.hmk.net.pl/)
21:43:57	170743/170743	---M--	200	added ('OK')	image/jpeg	etag:%226a0720-29af7-555d691cc4940%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide4.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide4.jpg	(from http://www.hmk.net.pl/)
21:44:06	87376/87376	---M--	200	added ('OK')	image/jpeg	etag:%226a0722-15550-52fd715eed100%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide6.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide6.jpg	(from http://www.hmk.net.pl/)
21:44:10	181324/181324	---M--	200	added ('OK')	image/jpeg	etag:%226a0721-2c44c-52fd715eed100%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide5.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/slide5.jpg	(from http://www.hmk.net.pl/)
